0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
91,86,83,83,83,82,82,83,83,83,85,85,86,84,82,83,84,84,84,84,83,84,85,85,83,84,84,84,85,86,85,84,85,85,86,86,84,86,87,86,86,86,85,83,85,86,88,87,84,86,87,86,86,86,84,81,85,85,88,88,83,84,84,85,86,86,84,81,85,84,86,88,86,84,83,85,87,87,85,83,84,82,83,85,90,86,84,86,88,88,85,84,84,81,81,83,84,86,87,88,88,84,83,88,89,83,81,83,78,83,88,89,87,83,84,90,91,85,84,85,81,85,88,89,86,81,83,90,91,86,86,87,86,87,86,86,85,82,84,91,90,86,85,86,2
85,86,84,80,78,83,84,86,90,89,84,81,84,86,86,83,80,84,85,84,86,85,82,82,84,85,87,86,85,86,85,83,83,82,81,81,85,85,87,87,89,87,84,83,83,82,81,79,85,84,86,86,88,87,86,85,83,81,81,80,85,83,85,85,84,85,87,87,82,80,80,81,83,83,85,86,82,80,81,84,82,80,81,79,82,83,85,87,82,75,74,79,82,83,81,76,82,82,85,87,82,78,80,83,80,80,79,72,83,82,84,85,83,80,82,83,79,78,78,73,84,82,82,82,84,81,82,82,77,77,78,75,84,81,81,81,82,79,78,78,76,77,78,76,2
86,84,83,80,76,73,71,71,70,76,76,72,82,82,82,80,77,75,74,72,71,75,74,70,82,83,82,79,77,76,74,71,71,72,71,69,82,83,81,77,75,76,74,71,70,69,69,69,80,81,78,74,73,76,76,73,69,67,68,68,80,79,76,73,72,74,74,72,69,67,66,66,81,79,75,73,73,72,70,68,68,66,65,64,78,75,74,74,74,73,70,68,67,65,65,64,74,70,70,74,75,71,68,69,70,69,66,67,71,70,71,73,72,69,67,68,72,70,67,68,71,72,72,70,68,67,67,68,67,68,66,66,74,74,72,68,66,67,68,69,65,69,70,67,2
70,68,67,69,75,68,60,58,62,67,71,72,69,69,71,76,72,68,64,63,64,68,71,73,68,69,72,77,71,70,69,68,67,69,71,72,68,66,67,72,71,72,72,70,69,69,70,70,67,65,65,68,72,72,70,69,69,71,70,69,65,66,69,70,71,70,68,67,69,72,72,68,64,68,72,72,71,71,69,67,69,72,71,67,64,69,73,71,72,73,72,69,69,70,68,64,70,69,68,71,70,72,71,69,67,68,68,67,72,73,70,70,69,69,69,69,70,69,68,67,71,72,70,69,67,66,66,69,71,70,68,66,68,68,67,68,65,66,67,68,70,70,69,67,2
72,72,72,71,71,74,79,83,83,78,75,76,71,72,72,72,72,74,78,82,78,77,75,73,69,70,71,71,72,73,75,78,76,76,75,71,66,67,69,70,70,71,72,72,74,73,71,69,65,66,68,69,70,70,70,69,68,67,66,66,66,67,69,70,70,70,69,69,64,65,66,67,68,68,68,69,70,70,69,69,68,68,70,70,68,67,67,68,68,69,68,68,72,71,70,70,67,67,67,68,70,70,67,65,68,69,69,67,65,67,68,68,68,67,66,65,66,65,65,66,65,69,71,69,66,66,66,66,64,62,61,65,68,71,72,70,67,66,66,66,64,60,60,64,2
76,73,70,69,72,72,69,68,68,67,67,70,69,66,65,66,72,72,69,67,68,68,67,67,67,65,65,65,68,70,68,66,67,68,66,64,69,70,67,63,63,67,67,64,66,67,65,63,70,71,68,62,62,68,68,65,65,66,64,62,69,69,67,65,66,70,69,66,66,66,64,63,68,67,67,68,69,68,66,65,67,67,64,63,67,65,65,68,68,65,60,62,67,68,65,64,65,64,65,65,66,64,59,59,65,67,64,61,67,65,63,62,64,63,60,59,62,63,61,60,68,66,63,60,63,63,61,60,62,62,61,63,67,66,64,63,65,64,62,62,64,64,65,68,2
68,66,65,65,66,66,65,65,65,63,62,61,67,67,67,67,67,65,63,62,63,61,63,66,65,67,68,69,67,65,62,60,60,58,62,69,63,65,67,67,66,65,64,63,62,61,65,69,64,65,65,63,62,64,66,66,66,66,68,68,66,67,65,61,60,63,66,66,64,65,66,65,67,67,64,60,60,64,65,64,60,60,62,63,66,66,64,61,62,65,65,62,59,57,61,66,65,68,67,64,63,63,64,67,62,63,64,63,61,64,64,63,64,64,63,65,65,63,61,60,59,60,58,60,63,64,63,64,67,63,58,58,63,59,55,57,61,62,62,64,66,61,57,58,2
60,64,68,68,65,64,65,64,61,63,68,70,66,67,69,70,66,65,65,64,61,63,66,67,69,66,66,67,68,67,67,67,64,65,68,68,68,64,64,64,65,64,66,67,66,67,69,68,66,65,65,64,61,60,62,64,64,65,66,64,63,64,65,64,63,61,62,64,63,64,63,61,61,61,62,63,66,64,64,65,64,64,63,60,64,60,61,63,66,63,63,64,64,64,63,59,61,60,62,63,65,62,61,61,60,60,62,61,61,62,62,62,62,60,60,59,57,58,60,60,61,64,63,61,61,59,58,56,54,57,61,62,62,64,63,61,63,61,58,55,52,57,64,67,2
70,66,62,61,64,64,63,64,62,64,67,68,68,62,58,59,61,62,63,63,62,65,67,69,65,57,56,59,59,60,61,60,62,64,67,68,62,55,57,62,59,58,60,59,62,64,65,64,57,55,60,65,61,59,61,60,63,64,64,61,54,55,62,66,63,61,63,62,63,64,64,61,56,58,62,64,63,64,63,61,61,62,63,62,59,62,62,61,63,64,61,58,58,59,62,63,61,61,61,61,60,59,59,60,59,59,61,63,61,60,59,59,59,59,62,64,62,61,61,63,61,59,58,58,59,59,62,65,63,63,61,62,62,60,59,61,60,59,60,62,63,65,62,61,2
65,62,60,60,57,58,61,61,57,59,65,66,67,65,62,60,59,59,61,61,59,60,63,65,67,64,62,61,62,62,61,62,62,60,61,64,61,60,61,62,65,64,61,62,64,61,59,64,56,56,60,65,66,65,62,63,65,62,59,63,56,56,61,66,65,64,63,64,65,63,61,63,60,59,61,63,64,63,64,65,64,64,64,64,63,62,61,60,62,62,65,65,63,64,66,64,63,60,60,61,60,61,64,64,61,62,63,61,64,63,61,62,61,58,58,61,61,62,61,59,65,64,61,62,62,56,56,61,63,61,62,62,64,63,61,63,63,58,59,65,64,61,63,68,2
64,63,63,64,65,64,64,65,64,60,62,65,68,66,64,64,63,63,64,66,67,62,62,66,69,67,65,64,63,63,64,66,66,62,62,66,68,67,66,66,65,63,63,64,65,62,63,66,66,65,65,66,64,63,63,65,66,64,66,66,65,64,63,62,62,61,63,66,64,63,65,65,63,62,61,61,60,60,62,65,62,61,63,64,60,60,61,62,60,59,60,62,64,62,62,63,61,58,59,64,66,63,61,62,64,63,64,65,58,56,59,66,68,64,62,62,64,62,61,63,60,58,61,67,70,66,63,63,65,62,61,62,66,64,64,68,69,66,64,64,65,64,63,63,2
